"date","st","max_gust","mean_gust","min_gust","sd_gust","median_gust"
"1955-10-12","AR",0,0,0,0,0
"1955-02-01","AR",0,0,0,0,0
"1955-03-20","AR",0,0,0,0,0
"1955-04-12","AR",0,0,0,0,0
"1955-04-21","AR",0,0,0,0,0
"1955-04-23","AR",0,0,0,0,0
"1955-04-05","AR",0,0,0,0,0
"1955-04-06","AR",0,0,0,0,0
"1955-05-10","AR",0,0,0,0,0
"1955-05-23","AR",0,0,0,0,0
"1955-05-26","AR",0,0,0,0,0
"1955-06-27","AR",60,60,60,0,60
"1955-07-24","AR",0,0,0,0,0
"1956-10-30","AR",66,66,66,0,66
"1956-12-06","AR",0,0,0,0,0
"1956-02-16","AR",0,0,0,0,0
"1956-02-17","AR",56,28,0,39.5979797464467,28
"1956-02-25","AR",70,23.3333333333333,0,40.4145188432738,0
"1956-03-27","AR",0,0,0,0,0
"1956-04-15","AR",50,25,0,35.3553390593274,25
"1956-04-03","AR",0,0,0,0,0
"1956-05-31","AR",0,0,0,0,0
"1956-06-26","AR",0,0,0,0,0
"1956-07-19","AR",0,0,0,0,0
"1956-07-21","AR",0,0,0,0,0
"1956-07-31","AR",0,0,0,0,0
"1956-07-08","AR",0,0,0,0,0
"1956-07-09","AR",0,0,0,0,0
"1956-08-11","AR",0,0,0,0,0
"1956-08-15","AR",0,0,0,0,0
"1956-08-17","AR",0,0,0,0,0
"1956-08-19","AR",0,0,0,0,0
"1956-08-30","AR",0,0,0,0,0
"1956-08-31","AR",50,25,0,35.3553390593274,25
"1956-08-04","AR",0,0,0,0,0
"1957-11-18","AR",0,0,0,0,0
"1957-04-18","AR",0,0,0,0,0
"1957-04-22","AR",0,0,0,0,0
"1957-04-26","AR",0,0,0,0,0
"1957-04-03","AR",0,0,0,0,0
"1957-05-13","AR",0,0,0,0,0
"1957-05-18","AR",0,0,0,0,0
"1957-05-21","AR",66,18.8571428571429,0,32.2047024073016,0
"1957-05-22","AR",0,0,0,0,0
"1957-05-23","AR",70,35,0,49.4974746830583,35
"1957-05-25","AR",0,0,0,0,0
"1957-06-14","AR",0,0,0,0,0
"1957-06-17","AR",0,0,0,0,0
"1957-06-04","AR",0,0,0,0,0
"1957-07-29","AR",65,32.5,0,45.9619407771256,32.5
"1957-07-01","AR",0,0,0,0,0
"1957-08-14","AR",0,0,0,0,0
"1957-08-05","AR",0,0,0,0,0
"1958-11-14","AR",0,0,0,0,0
"1958-11-15","AR",0,0,0,0,0
"1958-02-06","AR",0,0,0,0,0
"1958-04-28","AR",52,52,52,0,52
"1958-04-03","AR",0,0,0,0,0
"1958-06-06","AR",0,0,0,0,0
"1958-07-12","AR",0,0,0,0,0
"1959-11-03","AR",0,0,0,0,0
"1959-11-04","AR",0,0,0,0,0
"1959-02-10","AR",0,0,0,0,0
"1959-02-09","AR",0,0,0,0,0
"1959-03-14","AR",0,0,0,0,0
"1959-03-05","AR",0,0,0,0,0
"1959-03-08","AR",0,0,0,0,0
"1959-04-19","AR",0,0,0,0,0
"1959-04-27","AR",53,26.5,0,37.476659402887,26.5
"1959-04-28","AR",0,0,0,0,0
"1959-04-01","AR",56,56,56,0,56
"1959-05-18","AR",0,0,0,0,0
"1959-05-22","AR",0,0,0,0,0
